==========================================================================================================================
LISTADO COMPLETO DE CLASES CON CONTEO DE ASISTENCIAS
Rango: 2026-05-01 -> 2026-05-31
==========================================================================================================================

ClaseID Fecha      Hora     Sucursal               Disciplina         Tipo     Status   Instructor                Res  Disp Asis  NoAs  Canc  Cap  
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
72238   2026-05-01 07:00:00 Centtral Interlomas    Pilates Reformer   g        0        programador               8    8    8     0     0     1    
72239   2026-05-01 08:00:00 Centtral Interlomas    Pilates Reformer   g        0        Operacion                 8    8    7     1     0     1    
72240   2026-05-01 09:00:00 Centtral Interlomas    Pilates Reformer   g        0        Margot                    8    8    7     1     0     1    
72241   2026-05-01 10:00:00 Centtral Interlomas    Pilates Reformer   g        0        profesores                8    8    8     0     0     1    
72242   2026-05-01 18:00:00 Centtral Interlomas    Pilates Reformer   g        0        Roberto                   8    8    7     1     0     1    
72243   2026-05-01 19:00:00 Centtral Interlomas    Pilates Reformer   g        0        Damian                    8    8    7     1     0     1    
72254   2026-05-02 07:00:00 Centtral Interlomas    Pilates Reformer   g        0        profesores                8    8    8     0     0     1    
72255   2026-05-02 08:00:00 Centtral Interlomas    Pilates Reformer   g        0        administracion            8    8    6     2     0     1    
72256   2026-05-02 09:00:00 Centtral Interlomas    Pilates Reformer   g        0        programador               8    8    8     0     0     1    
72257   2026-05-02 10:00:00 Centtral Interlomas    Pilates Reformer   g        0        Roberto                   8    8    8     0     0     1    
72258   2026-05-02 18:00:00 Centtral Interlomas    Pilates Reformer   g        0        Damian                    8    8    7     1     0     1    
72259   2026-05-02 19:00:00 Centtral Interlomas    Pilates Reformer   g        0        Christian                 8    8    8     0     0     1    
72270   2026-05-03 07:00:00 Centtral Interlomas    Pilates Reformer   g        0        administracion            8    8    8     0     0     1    
72271   2026-05-03 08:00:00 Centtral Interlomas    Pilates Reformer   g        0        Instructor                8    8    6     2     0     1    
72272   2026-05-03 09:00:00 Centtral Interlomas    Pilates Reformer   g        0        Direccion                 8    8    7     1     0     1    
72273   2026-05-03 10:00:00 Centtral Interlomas    Pilates Reformer   g        0        Asael                     8    8    8     0     0     1    
72274   2026-05-03 18:00:00 Centtral Interlomas    Pilates Reformer   g        0        programador               8    8    8     0     0     1    
72275   2026-05-03 19:00:00 Centtral Interlomas    Pilates Reformer   g        0        administracion            8    8    6     2     0     1    
72286   2026-05-04 07:00:00 Centtral Interlomas    Pilates Reformer   g        0        Roberto                   8    8    6     2     0     1    
72287   2026-05-04 08:00:00 Centtral Interlomas    Pilates Reformer   g        0        Margot                    8    8    6     2     0     1    
72288   2026-05-04 09:00:00 Centtral Interlomas    Pilates Reformer   g        0        programador               8    8    8     0     0     1    
72289   2026-05-04 10:00:00 Centtral Interlomas    Pilates Reformer   g        0        administracion            8    8    8     0     0     1    
72290   2026-05-04 18:00:00 Centtral Interlomas    Pilates Reformer   g        0        administracion            8    8    7     1     0     1    
72291   2026-05-04 19:00:00 Centtral Interlomas    Pilates Reformer   g        0        Asael                     8    8    8     0     0     1    
72302   2026-05-05 07:00:00 Centtral Interlomas    Pilates Reformer   g        0        Margot                    8    8    7     1     0     1    
72303   2026-05-05 08:00:00 Centtral Interlomas    Pilates Reformer   g        0        Margot                    8    8    7     1     0     1    
72304   2026-05-05 09:00:00 Centtral Interlomas    Pilates Reformer   g        0        Asael                     8    8    5     3     0     1    
72305   2026-05-05 10:00:00 Centtral Interlomas    Pilates Reformer   g        0        Instructor                8    8    8     0     0     1    
72306   2026-05-05 18:00:00 Centtral Interlomas    Pilates Reformer   g        0        encodeadmin               8    8    8     0     0     1    
72307   2026-05-05 19:00:00 Centtral Interlomas    Pilates Reformer   g        0        Margot                    8    8    5     3     0     1    
72318   2026-05-06 07:00:00 Centtral Interlomas    Pilates Reformer   g        0        Operacion                 8    8    8     0     0     1    
72319   2026-05-06 08:00:00 Centtral Interlomas    Pilates Reformer   g        0        Instructor                8    8    7     1     0     1    
72320   2026-05-06 09:00:00 Centtral Interlomas    Pilates Reformer   g        0        Instructor                8    8    7     1     0     1    
72321   2026-05-06 10:00:00 Centtral Interlomas    Pilates Reformer   g        0        Operacion                 8    8    7     1     0     1    
72322   2026-05-06 18:00:00 Centtral Interlomas    Pilates Reformer   g        0        Margot                    8    8    8     0     0     1    
72323   2026-05-06 19:00:00 Centtral Interlomas    Pilates Reformer   g        0        Damian                    8    8    8     0     0     1    
70264   2026-05-01 06:00:00 Santa Fe               Pilates Reformer   g        0        Margot                    1    1    1     0     0     10   
72228   2026-05-01 07:00:00 Santa Fe               Pilates Reformer   g        0        Operacion                 9    9    7     2     0     1    
72231   2026-05-01 08:00:00 Santa Fe               BeastFormer        g        0        Operacion                 13   13   13    0     0     2    
72234   2026-05-01 09:00:00 Santa Fe               Dual Pilates       g        0        Instructor                9    9    8     1     0     1    
72229   2026-05-01 10:00:00 Santa Fe               Pilates Reformer   g        0        Damian                    9    9    7     2     0     1    
72236   2026-05-01 10:00:00 Santa Fe               Pilates Reformer   i        0        Christian                 4    4    4     0     0     1    
72232   2026-05-01 11:00:00 Santa Fe               BeastFormer        g        0        encodeadmin               13   13   11    2     0     2    
72237   2026-05-01 12:00:00 Santa Fe               Pilates Reformer   i        0        profesores                4    4    4     0     0     1    
72235   2026-05-01 17:00:00 Santa Fe               Dual Pilates       g        0        Margot                    9    9    6     3     0     1    
72230   2026-05-01 18:00:00 Santa Fe               Pilates Reformer   g        0        Margot                    9    9    9     0     0     1    
72233   2026-05-01 19:00:00 Santa Fe               BeastFormer        g        0        profesores                13   13   10    3     0     2    
70164   2026-05-02 06:30:00 Santa Fe               BeastFormer        g        0        Asael                     0    0    0     0     0     14   
72244   2026-05-02 07:00:00 Santa Fe               Pilates Reformer   g        0        Direccion                 9    9    9     0     0     1    
72247   2026-05-02 08:00:00 Santa Fe               BeastFormer        g        0        administracion            13   13   12    1     0     2    
72250   2026-05-02 09:00:00 Santa Fe               Dual Pilates       g        0        Roberto                   9    9    6     3     0     1    
72245   2026-05-02 10:00:00 Santa Fe               Pilates Reformer   g        0        programador               9    9    9     0     0     1    
72252   2026-05-02 10:00:00 Santa Fe               Pilates Reformer   i        0        Operacion                 4    4    2     2     0     1    
72248   2026-05-02 11:00:00 Santa Fe               BeastFormer        g        0        Direccion                 13   13   13    0     0     2    
72253   2026-05-02 12:00:00 Santa Fe               Pilates Reformer   i        0        administracion            4    4    3     1     0     1    
72251   2026-05-02 17:00:00 Santa Fe               Dual Pilates       g        0        administracion            9    9    9     0     0     1    
72246   2026-05-02 18:00:00 Santa Fe               Pilates Reformer   g        0        Operacion                 9    9    7     2     0     1    
72249   2026-05-02 19:00:00 Santa Fe               BeastFormer        g        0        Operacion                 13   13   13    0     0     2    
72260   2026-05-03 07:00:00 Santa Fe               Pilates Reformer   g        0        Operacion                 9    9    8     1     0     1    
72263   2026-05-03 08:00:00 Santa Fe               BeastFormer        g        0        Christian                 13   13   11    2     0     2    
72266   2026-05-03 09:00:00 Santa Fe               Dual Pilates       g        0        administracion            9    9    7     2     0     1    
72261   2026-05-03 10:00:00 Santa Fe               Pilates Reformer   g        0        Direccion                 9    9    8     1     0     1    
72268   2026-05-03 10:00:00 Santa Fe               Pilates Reformer   i        0        Damian                    4    4    4     0     0     1    
72264   2026-05-03 11:00:00 Santa Fe               BeastFormer        g        0        Roberto                   13   13   13    0     0     2    
72269   2026-05-03 12:00:00 Santa Fe               Pilates Reformer   i        0        Instructor                4    4    4     0     0     1    
72267   2026-05-03 17:00:00 Santa Fe               Dual Pilates       g        0        Roberto                   9    9    7     2     0     1    
72262   2026-05-03 18:00:00 Santa Fe               Pilates Reformer   g        0        programador               9    9    8     1     0     1    
72265   2026-05-03 19:00:00 Santa Fe               BeastFormer        g        0        Margot                    13   13   11    2     0     2    
72276   2026-05-04 07:00:00 Santa Fe               Pilates Reformer   g        0        Direccion                 9    9    9     0     0     1    
72279   2026-05-04 08:00:00 Santa Fe               BeastFormer        g        0        Margot                    13   13   11    2     0     2    
72282   2026-05-04 09:00:00 Santa Fe               Dual Pilates       g        0        Direccion                 9    9    8     1     0     1    
72277   2026-05-04 10:00:00 Santa Fe               Pilates Reformer   g        0        encodeadmin               9    9    8     1     0     1    
72284   2026-05-04 10:00:00 Santa Fe               Pilates Reformer   i        0        Margot                    4    4    3     1     0     1    
72280   2026-05-04 11:00:00 Santa Fe               BeastFormer        g        0        Instructor                13   13   12    1     0     2    
72285   2026-05-04 12:00:00 Santa Fe               Pilates Reformer   i        0        programador               4    4    3     1     0     1    
72283   2026-05-04 17:00:00 Santa Fe               Dual Pilates       g        0        profesores                9    9    7     2     0     1    
72278   2026-05-04 18:00:00 Santa Fe               Pilates Reformer   g        0        Instructor                9    9    7     2     0     1    
72281   2026-05-04 19:00:00 Santa Fe               BeastFormer        g        0        Christian                 13   13   11    2     0     2    
70273   2026-05-05 06:00:00 Santa Fe               Pilates Reformer   g        0        Margot                    0    0    0     0     0     10   
72292   2026-05-05 07:00:00 Santa Fe               Pilates Reformer   g        0        Operacion                 9    9    9     0     0     1    
72295   2026-05-05 08:00:00 Santa Fe               BeastFormer        g        0        programador               13   13   12    1     0     2    
72298   2026-05-05 09:00:00 Santa Fe               Dual Pilates       g        0        administracion            9    9    7     2     0     1    
72293   2026-05-05 10:00:00 Santa Fe               Pilates Reformer   g        0        administracion            9    9    7     2     0     1    
72300   2026-05-05 10:00:00 Santa Fe               Pilates Reformer   i        0        Damian                    4    4    3     1     0     1    
70274   2026-05-05 10:19:00 Santa Fe               BeastFormer        g        0        Margot                    1    1    1     0     0     14   
70275   2026-05-05 10:19:00 Santa Fe               Pilates Reformer   i        0        Christian                 0    0    0     0     0     5    
72296   2026-05-05 11:00:00 Santa Fe               BeastFormer        g        0        Roberto                   13   13   11    2     0     2    
70276   2026-05-05 11:07:00 Santa Fe               BeastFormer        g        0        Christian                 0    0    0     0     0     14   
70277   2026-05-05 11:07:00 Santa Fe               Pilates Reformer   i        0        Damian                    1    1    1     0     0     5    
72301   2026-05-05 12:00:00 Santa Fe               Pilates Reformer   i        0        profesores                4    4    3     1     0     1    
70278   2026-05-05 13:00:00 Santa Fe               BeastFormer        g        0        Margot                    1    1    1     0     0     14   
72299   2026-05-05 17:00:00 Santa Fe               Dual Pilates       g        0        Operacion                 9    9    8     1     0     1    
72294   2026-05-05 18:00:00 Santa Fe               Pilates Reformer   g        0        Margot                    9    9    9     0     0     1    
70279   2026-05-05 18:26:00 Santa Fe               Pilates Reformer   g        0        Margot                    3    3    2     1     0     10   
72297   2026-05-05 19:00:00 Santa Fe               BeastFormer        g        0        Asael                     13   13   10    3     0     2    
70280   2026-05-06 06:00:00 Santa Fe               Pilates Reformer   g        0        Margot                    0    0    0     0     0     10   
72308   2026-05-06 07:00:00 Santa Fe               Pilates Reformer   g        0        programador               9    9    8     1     0     1    
